tanggal,suhu_rata,kelembapan,curah_hujan,lama_penyinaran,angin,stasiun
29-07-2010,26.7,84.0,4.0,7.2,2.0,96737
30-07-2010,27.4,82.0,0.0,8.0,1.0,96737
31-07-2010,27.6,81.0,0.0,8.0,1.0,96737
01-08-2010,27.2,78.0,1.0,8.0,1.0,96737
02-08-2010,27.2,84.0,0.0,8.0,1.0,96737
03-08-2010,27.1,80.0,0.0,8.0,1.0,96737
04-08-2010,26.6,85.0,0.0,2.1,0.0,96737
05-08-2010,27.1,84.0,0.0,3.2,1.0,96737
06-08-2010,26.6,86.0,18.0,3.1,0.0,96737
07-08-2010,26.3,87.0,5.0,3.0,0.0,96737
08-08-2010,27.4,84.0,4.0,7.8,1.0,96737
09-08-2010,26.2,84.0,5.0,1.5,1.0,96737
10-08-2010,27.1,83.0,0.0,8.0,2.0,96737
11-08-2010,26.5,88.0,0.0,5.3,2.0,96737
12-08-2010,27.3,83.0,14.0,4.2,1.0,96737
15-08-2010,25.9,90.0,7.0,0.5,0.0,96737
16-08-2010,26.1,87.0,1.0,7.4,1.0,96737
17-08-2010,26.5,84.0,46.0,8.0,1.0,96737
18-08-2010,27.0,84.0,1.0,0.0,2.0,96737
19-08-2010,27.2,78.0,0.0,2.5,2.0,96737
20-08-2010,25.5,91.0,0.0,7.0,1.0,96737
21-08-2010,26.8,85.0,13.0,0.3,0.0,96737
23-08-2010,27.3,81.0,0.0,4.8,1.0,96737
24-08-2010,26.5,86.0,0.0,2.5,0.0,96737
25-08-2010,27.9,81.0,1.0,8.0,1.0,96737
26-08-2010,28.3,77.0,0.0,8.0,1.0,96737
27-08-2010,26.0,86.0,0.0,4.4,0.0,96737
28-08-2010,26.4,81.0,1.0,5.8,0.0,96737
29-08-2010,27.2,81.0,0.0,8.0,0.0,96737
30-08-2010,27.4,83.0,4.0,8.0,1.0,96737
31-08-2010,27.2,85.0,2.0,5.8,1.0,96737
02-09-2010,26.8,86.0,0.0,4.8,0.0,96737
03-09-2010,27.1,86.0,44.0,3.6,0.0,96737
04-09-2010,27.2,84.0,37.0,8.0,0.0,96737
05-09-2010,25.7,94.0,0.0,2.0,0.0,96737
06-09-2010,25.4,92.0,16.0,0.0,0.0,96737
07-09-2010,25.8,89.0,1.0,3.5,0.0,96737
09-09-2010,27.5,76.0,13.0,6.0,1.0,96737
11-09-2010,26.4,85.0,5.0,7.0,1.0,96737
13-09-2010,24.5,90.0,0.0,5.0,1.0,96737
14-09-2010,26.2,88.0,9.0,6.0,1.0,96737
15-09-2010,25.8,89.0,7.0,0.0,1.0,96737
16-09-2010,25.6,82.0,29.0,1.0,2.0,96737
18-09-2010,26.7,84.0,52.0,2.0,1.0,96737
19-09-2010,27.1,88.0,0.0,0.0,1.0,96737
20-09-2010,27.2,84.0,0.0,0.0,1.0,96737
22-09-2010,25.7,91.0,5.0,0.0,2.0,96737
23-09-2010,24.8,96.0,51.0,0.0,0.0,96737
24-09-2010,26.6,86.0,16.0,4.0,1.0,96737
25-09-2010,24.4,98.0,15.0,0.8,0.0,96737
26-09-2010,27.1,81.0,24.0,3.4,0.0,96737
28-09-2010,27.1,82.0,4.0,8.0,0.0,96737
29-09-2010,27.7,80.0,0.0,8.0,1.0,96737
30-09-2010,27.6,81.0,0.0,7.8,0.0,96737
01-10-2010,28.4,79.0,0.2,8.0,1.0,96737
02-10-2010,26.2,88.0,0.0,2.5,0.0,96737
03-10-2010,24.3,95.0,44.1,0.0,0.0,96737
04-10-2010,25.8,90.0,37.3,2.5,1.0,96737
05-10-2010,26.7,90.0,0.0,0.0,0.0,96737
06-10-2010,26.2,91.0,15.6,4.4,1.0,96737
07-10-2010,26.8,88.0,0.9,4.5,2.0,96737
08-10-2010,25.9,88.0,0.1,2.6,0.0,96737
09-10-2010,26.6,88.0,13.1,5.0,0.0,96737
10-10-2010,26.8,76.0,0.4,8.0,1.0,96737
11-10-2010,26.1,72.0,4.7,8.0,0.0,96737
13-10-2010,26.9,80.0,0.0,1.6,0.0,96737
14-10-2010,25.2,90.0,9.3,1.5,1.0,96737
15-10-2010,28.1,75.0,7.2,5.2,2.0,96737
16-10-2010,27.7,76.0,0.0,8.0,2.0,96737
17-10-2010,28.0,76.0,0.0,5.3,2.0,96737
18-10-2010,26.2,82.0,0.0,2.0,2.0,96737
20-10-2010,26.2,90.0,0.0,3.2,3.0,96737
22-10-2010,26.4,85.0,4.0,5.0,1.0,96737
25-10-2010,27.0,82.0,2.0,4.0,2.0,96737
26-10-2010,26.7,86.0,13.0,2.8,2.0,96737
28-10-2010,25.6,88.0,4.0,4.0,0.0,96737
29-10-2010,25.5,91.0,24.0,4.0,0.0,96737
30-10-2010,26.5,85.0,5.0,2.5,2.0,96737
31-10-2010,27.0,79.0,1.0,2.8,1.0,96737
01-11-2010,27.1,79.0,0.0,2.0,2.0,96737
02-11-2010,28.7,69.0,0.0,6.2,2.0,96737
03-11-2010,28.1,76.0,0.0,6.5,2.0,96737
